AEILNRST;SITRALEN SNILEART TILRANES
GILNPPÅØ;PÅLØPING
EEPSTTTÅ;PÅSETTET
AAAILPRR;RAPALIRA
DEKORRRÅ;REKORDÅR
DEEENNNR;RENNENDE
EORRRSTÆ;ROSETRÆR
KOORSTTT;ROTSKOTT
AADGGRRY;RYGGRADA
ADILLLRØ;RØDLILLA
BDDORRSÅ;RÅDSBORD
EGGHRRUÅ;RÅHUGGER
AGLMSSSU;SALGSSUM SMUSSLAG
AAADHNSV;SANDHAVA
EEELLSSØ;SELELØSE
DDELSSVÅ;SELVSÅDD
EEHNOSSW;SENESHOW
AFOORSTZ;SFORZATO
JKKNOPSÅ;SJOKKÅPN
BJLSTTÅØ;SJØBLÅTT
BEJKRSØØ;SJØBØKER
EJNRSYØØ;SJØRØYEN
AEKKKSST;SKAKKEST
BBIKKLSU;SKIKLUBB
IKKNNSSY;SKINNSYK
GKOOPPST;SKOGTOPP
ADEKKKSY;SKYDEKKA
EKLSSTYY;SKYTELYS
JKMSTTÅØ;SMÅKJØTT
AAKKMPSÅ;SMÅPAKKA
AMPSSVÅØ;SMÅSVØPA
AGGHNSUU;SNAUHUGG
LNORSSSÅ;SNORSLÅS
ANPRSSØØ;SNØSØRPA
DEEIPSSS;SPISSEDE
AILPSSSU;SPISSLUA
AEHLPSSS;SPLASHES
GINNNPSU;SPUNNING
ALOSSSTT;STATSLOS
EEEPPSTT;STEPPETE
BFFIOSTT;STOFFBIT
KRSTTVØØ;STØVTØRK
GIINPPSV;SVIPPING VIPPSING
ANSSSTVY;SYNSSTAV
FKKLLSUØ;SØKKFULL
ALMSSSTØ;SØLSAMST
ELNSSVØØ;SØVNLØSE
AAAFKRTT;TAKRAFTA
AEEKKKTT;TAKTEKKE
ILSTTTYØ;TILSTØYT
LLOOPRTT;TOLLPORT
EERRRTTØ;TRERØRET TRETØRRE
BLLORRTÆ;TROLLBÆR
AHRTTTUY;TURHYTTA
AELLPUVV;ULVEVALP
AAAKNNTU;UNNATAKA
AADGOPPU;UOPPDAGA
FLOPPTUY;UOPPFYLT
EEESTTTU;UTESTETE
EFLTTTUY;UTFLYTET UTFLYTTE
AGPPRTUU;UTGRUPPA
ESTTTUYØ;UTSTØYTE
EELLTTTU;UTTELLET
AALLPSSV;VALPLASS
AAKLNNVV;VANNKALV
DESTTTVÅ;VEDSTÅTT
AEIPPTVV;VEIVTAPP
GINNNRVØ;VINGRØNN
EHRRTVÅÆ;VÆRHÅRET
AALMMRVÅ;VÅRLAMMA
AAFLMORW;WOLFRAMA
EEFNOORW;WOOFEREN WOOFERNE
EKKKLRUØ;ØLKRUKKE
EFJNRRÆØ;ØRNEFJÆR
EENRRYØØ;ØRNEØYER
AAHIIKKS;AKHAIISK
AAIKLSSS;ALSASISK ISKLASSA
AAENPSSS;ANPASSES
AAAEGHLP;APALHAGE
AAESSTTT;ATTESTAS
AAEFTTTV;AVFATTET
AAGGIINV;AVGIINGA
AAIRTTUW;AWARUITT
AABBKOSY;BABYSKOA
ABDEKKKO;BAKDOKKE
AAABFGKN;BANKFAGA
ABBKLLNY;BLYBLANK
ABDMMOOR;BODROMMA
BDEORRRØ;BRODØRER
BGINNNRØ;BRØNNING
BBEKNTUU;BUKTUBEN
BBENSSUY;BYBUSSEN
BEGGLMYÅ;BYGGEMÅL
ABPPRTTÅ;BÅTTRAPP
AABCEGLL;CAGEBALL
AACJMNTU;CAJUNMAT
ACEEIRRR;CARRIERE
CEEELLNO;CELLOENE
BCEIIORR;CIBORIER
ACCEEKNR;CRACKENE
AABDDGLY;DALBYGDA
DEEEEILR;DELEIERE
AAADIMPS;DIAPASMA
CDDEEHIT;DITCHEDE
DEGJLPUU;DJUPGULE
DEHKKSUU;DUKKEHUS
DDEMNOUU;DUODENUM
BDLPTTYÅ;DYPBLÅTT
DEFPRSYY;DYPFRYSE
DDEKSSYØ;DØDSSYKE
ADDRSSÅØ;DØDSSÅRA
EEGGGKOR;EGGEKORG
EEEGGJLO;EGGEOLJE
EEJJKNOS;EJEKSJON
EEEELRSV;ELEVERES
EEEEKMNR;ENEMERKE
ADEEENNN;ENNEADEN
EFFIRTUU;FEITFURU
EEFFIJRR;FERJEFRI
DFIILLMO;FILMIDOL
FIIKLNPP;FINKLIPP
AFIJPPRØ;FJØRPIPA
AFFKKLRØ;FLAKKFØR
AAEFFLLT;FLATFELA
FFLORTTY;FORFLYTT
FGJOORRT;FORGJORT
FJKORRTÆ;FORKJÆRT
FORRRSTY;FORSTYRR
FORSTTTÅ;FORSTÅTT
AFFMOORT;FOTFORMA
ADEFRRRÅ;FRARÅDER
EEEFRTTT;FRETTETE
EFGINNNØ;FØNINGEN
AADDGHRR;GARDHARD
ABGKOSSS;GASSBOKS
AGGIJNNØ;GJØNINGA
AGLLOTTT;GLOTTALT
AAAGGLRS;GRASLAGA
EEGGGRTU;GRUGGETE
EEGHNRÅÅ;GRÅHÅENE
GKLLTUUV;GULVKLUT
AADDHLUV;HALVDAUD
AHILLTVV;HALVVILT
AHISSSTU;HAUSSIST
BEEGGHRÆ;HEGGEBÆR
AEHILLLU;HEILULLA
DEEEHMMN;HEMMENDE
BCDEHIIR;HERBICID
AHJLLSUÅ;HJULLÅSA
AHJLPPTU;HJULTAPP
ADEHHORÅ;HODEHÅRA
EHNOORRÆ;HONORÆRE
AAGHLOPP;HOPPLAGA LAGHOPPA
DDEHOORV;HOVEDORD
ABFFHILV;HVALBIFF
EEEHLNVV;HVELVENE
ADHHIOTV;HVITHODA
AEEFHVVY;HYFEVEVA
AEHKLPPÆ;HÆLKAPPE
BEHRRTÅÆ;HÆRBRÅTE
EEHNSYØØ;HØNSEØYE
AHKRTYØØ;HØYTØRKA
DGGHNRYÅ;HÅNDRYGG
DFIIMOOR;IDIOMORF
BIIKKLNN;INNBLIKK
EEIILNNN;INNLEIEN
EGIINNNS;INNSEING ISNINGEN SININGEN
IINNOPSS;ISOSPINN
AAJLOPPS;JASPOPAL
ABBFIJLO;JOBBFILA
EGGJKOOS;JOGGESKO
AABDDJOR;JORDBADA
ABDJORRÆ;JORDBÆRA
AAAKMNNT;KAMTANNA
AFKLPPYØ;KAPPFLØY
EEEKLNNN;KENNELEN
AAADIKNN;KINAANDA
EIKKKORR;KIRKEKOR
DIKLPPYØ;KLIPPØYD
AKKKLOPS;KLOKSKAP
ABBGKLLU;KLUBBLAG
DEEKKKLU;KLUKKEDE
GIKKKLNU;KLUKKING
AEFGKKKO;KOKKEFAG
EKKOPPSY;KOPPESYK
EEKKORRR;KROKERER
EKMMOORR;KROMOMER ROMKOMER
AJKKTTUØ;KUKJØTTA
EIKLLLMU;KULLMILE MILEKULL
KKLLRUYØ;KULLRØYK
IKLLLOSU;KULLSILO
EKKLLRUU;KULLUKER
DEEKNVVÆ;KVÆVENDE
AGILLLPS;LAGSPILL
AAGLPPSÅ;LAPPGÅSA
AAKLLSSÅ;LASKLÅSA
DDEEELLT;LEDDELTE
ELLSTTTØ;LETTLØST
DDEIKKLL;LIKKLEDD
EILLLPSU;LILLEPUS
ADGGJLOÅ;LJÅDOGGA
FGLLOOTV;LOFTGOLV
AGGGILNO;LOGGINGA
EFFLOORV;LOVOFFER
ADHLOSWY;LYDSHOWA
EKLLSTYY;LYKTELYS
DEFLMMYØ;LYMFØDEM
DDKLSSUY;LYSSKUDD
ELLNNRÅÆ;LÆRNÅLEN
EELNPYØØ;LØPEØYNE
AALLSSVØ;LØVLASSA SØLVASAL
AGILNVÅÅ;LÅGNIVÅA
AHIMTTTV;MATTHVIT
AAAMRRTU;MAURARTA
AEEGGMVV;MAVEVEGG
EEEMSTTT;METTESTE SMETTETE
AMMNNOOR;MOROMANN
EMMNOOTT;MOTMOTEN
BFIKMOOY;MYKOFOBI
AMMRSSYØ;MYSSMØRA
DEKMRRØØ;MØRKERØD MØRKRØDE
AAGLLMVÅ;MÅLVALGA
AAABDMNO;NABODAMA
AAIMNTZØ;NAZIMØTA
GGIILNNO;NIGLOING
AAENNNOP;NONNEAPA
EEENTVVY;NYVEVETE
EGINNNVY;NYVINGEN
ENNNTUVY;NYVUNNET
DEFFORRY;OFFERDYR
AELMOOOR;OLOMAOER
AIIMNNOO;ONIOMANI
BEEOPPRÆ;OPPEBÆRE
EOOPPRTT;OPPROTET
AAOPPSST;OPPSTASA
EGLOOORT;OTOLOGER
AAAFGLNP;PLANFAGA
CEEHNNPU;PUNCHENE
EHIMORRZ;RHIZOMER
AGGRRTUU;RUGGRAUT
BELLRRUU;RULLEBRU
EELLRRRU;RULLERER
AADERRRØ;RØDARAER
AEKKKPRØ;RØKPAKKE
EEKMRRRÅ;RÅMERKER ÅRMERKER
AEGGRSSS;SAGGRESS
AEIKKSSS;SAKSISKE
AAAFLSTT;SALATFAT
AALLMMOS;SALLOMMA
AAAGLLST;SALTLAGA
AADLNSSS;SANDLASS
ABEJSSUÆ;SAUEBÆSJ
AAEKSSSU;SAUESAKS
CEEFHRSÆ;SCHÆFERE
EEIMNSSX;SEXISMEN
EIIILMRS;SIMILIER
AAJKKMPS;SJAKKAMP
AJLLMSÅØ;SJØLMÅLA
AJLSTTTØ;SJØLTATT
AEIJKKKS;SKIJAKKE
EEJKNSSS;SKJESSEN
EJKSTTTØ;SKJØTTET
JKKLSTYÅ;SKJÅLYKT
GJKKOPSØ;SKOGKJØP
DDGKOSSØ;SKOGSDØD
EKKKRRSU;SKRUKKER
BDKNRSÅÅ;SKRÅBÅND
DDKRSSUÅ;SKUDDSÅR ÅRSSKUDD
DKLLSSYØ;SKYLDLØS
BEKSTYYØ;SKØYTEBY
ADDDEELS;SLADDEDE
GMRRSTØØ;SMØRGRØT
AGGJMOSÅ;SMÅJOGGA
JKKMSTUÅ;SMÅTJUKK
AKOPPSSY;SOPPSKYA
AIPRSSSØ;SPISSØRA
EEJPSTTT;SPJETTET
AAAKSTTV;STAVTAKA
JLMRSTØØ;STRØMJØL
GGRSTVYÆ;STYGGVÆR
AEPSSTØØ;STØPEØSA
RSSTTYÅØ;STØYTSÅR
ALLSSTUU;SULLAUST
EEPPSSUØ;SUPPEØSE
GIIJNSSV;SVISJING
ALLMMSVØ;SØLVMALM
AAJKRTTÆ;TAKTJÆRA
AHMORTTW;TAMWORTH
BDEEEPPT;TEPPEBED
ADDDILRT;TILDRADD
FILLTTYØ;TILFLØYT
BEGOTTTY;TOGBYTTE
AMOPPTTØ;TOPPMØTA
EEEGGTTV;TVEEGGET
EEENTTTV;TVETTENE
EEHNTTTÅ;TÅHETTEN
BEEKLTÅÅ;TÅKEBLÅE
BENTTTUÅ;UBÅTNETT
EHJLNPUU;UHJULPEN UHJULPNE
DEELLUVV;ULLVEVDE
APTTUYÅØ;UTAPÅTØY
EMPPRTUU;UTPUMPER
ERSTTTUU;UTRUSTET
KRSSUVYÆ;UVÆRSSKY
AAAGLPTV;VALGTAPA
AAAKNNSV;VANNAKSA
ABGNNNOV;VANNBONG
AAKNNNTV;VANNKANT VANNTANK
ALSSSTVØ;VASSLØST
AEILLLPV;VILLEPLA
AIIMRUVV;VIVARIUM
EEGRRVVÅ;VÅRVEGER
KOORSTUW;WORKOUTS
AEINNTTX;XANTINET
AEHLLLRØ;ØLHALLER
ACCELORT;ACCOLERT
ADDDEELT;ADLEDDET
ADIMSSSU;ADMISSUS
AAIILNRZ;ALIZARIN
AGGIINNV;ANGIVING VINGINGA
AAIOSSST;ASSOSIAT
AILPTTTÅ;ATTPÅTIL
AAEJKMMV;AVKJEMMA
AADEENNZ;AZANDENE
ABEHLLLT;BALLHELT
BBDEEETU;BEBUDETE
BEEFNNNU;BEFUNNEN
BBEELLTY;BLYBELTE
BLLSTTÅØ;BLØTSTÅL
BEKLMRÅÅ;BLÅMÅKER
BGILLOOV;BOLIGLOV
BBDNNORØ;BORDBØNN
ABBEKRRÆ;BRAKEBÆR
BGGIINNR;BRINGING
ABKNRVÅÅ;BRÅVÅKNA
BDDEKSUU;BUESKUDD SKUDDBUE
AADDMNNU;DAUDMANN MANNDAUD
DDEEEKKN;DEKKENDE
DEEIJNNN;DJINNENE
DKNOOSTW;DOWTONSK
AADDGRRY;DRAGDYRA
DFFIRTTØ;DRITTØFF
DEFPTTUU;DUFTPUTE
DEGGGNRU;DUGGREGN
DEJPSSUÅ;DUSJSÅPE
DDEGRRYÅ;DYREGÅRD
DEJKRRYÆ;DYREKJÆR
DGLRTTØØ;DØRGLØTT
DDEHINNÅ;DÅHINDEN
DDEPSSTÅ;DÅPSSTED
ADDDEIKT;EDDADIKT
EEEGGLRÆ;EGGELÆRE
EEEEGILN;ELEGIENE
EEEELRTV;ELEVERTE
AEEFLLLV;ELVEFALL
EEEGIRRR;ERIGERER
EEERRRTU;ETRURERE
EEKKNNUU;EUNUKKEN
EEINNVVÅ;EVNENIVÅ
ACFGOTTY;FAGOCYTT
AAAFLRSS;FARLASSA
FGGHIINT;FIGHTING
FGILLMOO;FILMOLOG
EFIINTTT;FINITTET
EFJKLLVÅ;FJELLVÅK
BFJLRTÆØ;FJÆRBLØT
EFJLMRÅÆ;FJÆREMÅL
EFJNNPRÆ;FJÆRPENN
FLLSSTUÅ;FLUSSTÅL
DDEFKLLY;FLYKLEDD
DEFORRRØ;FORDØRER ORDFØRER
EFOPRRRU;FORPURRE
ABFGGOOT;FOTOBAGG
DFGIIRRÅ;FRIRÅDIG
BCFKOSUY;FUCKBOYS
EFFLLORY;FYLLEFOR
EEFFJRSÅ;FÅREFJES
AEGGTTTU;GATEGUTT
EFGISSSU;GEISFUSS
EGIINRRW;GIRWIREN
DDEEEGJN;GJEDDENE
DEEEGJKK;GJEKKEDE
DEGGIJRÆ;GJÆRDEIG
AGMORRRY;GORRMYRA
CGHKOORT;GOTHROCK
AGNRRRTÆ;GRANTRÆR
AAGORRVV;GRAVROVA
GILLRRVÆ;GRILLVÆR
GGINPPRØ;GRØPPING
BDGLLRUU;GULLBRUD
GLLLOSTU;GULLSTOL
GLLOPPTU;GULLTOPP
GIMMTUYØ;GUMMITØY
EGGNTTUU;GUTTUNGE
EEEGGNVÅ;GÅVEGENE
AAEHHLTV;HALVHETA
AAADHLNV;HAVLANDA
AEHHRUVY;HAVUHYRE
EEEHHLRT;HELHETER
EEEHHNST;HESHETEN
BHIIKSSU;HIBISKUS
CDEEHLLU;HUDCELLE
GHJKSTUU;HUGSJUKT
HLMRSUØØ;HUMØRLØS
AHNNNRUØ;HUNNØRNA
AAHJKKSU;HUSJAKKA
AEHHITTV;HVITHETA
DHKOORRY;HYDROKOR
EGHHSTUØ;HØGHUSET
DGHLSTØØ;HØSTGLØD
ABBHIRYØ;HØYRIBBA
DEHHINSÅ;HÅNDHEIS
DEEHNVVÅ;HÅNDVEVE
BIILMMOT;IMMOBILT
DEIINNNS;INNSIDEN
AAJNNSSV;JASSNAVN
BBEEJNOY;JOBBYENE
EJKLLTUU;JULELUKT
AAIKMNNN;KINAMANN
EEEJKMMR;KJEMMERE
FFGIKNNU;KNUFFING
FFKLOOST;KOLSTOFF
AAEKKKMR;KREMKAKA
EFKLLLTU;KULLFELT
ABIKKKRV;KVIKKBAR
AABGGLVY;LAVBYGGA
ADEEGGGL;LEGGEDAG
EEHLSSSU;LESSEHUS
ELLNTTTY;LETTLYNT
BEIIKKLL;LIKBLEIK
DELLMMOØ;LOMMEDØL
ABDDILLY;LYDBILDA
DDEKLLRÆ;LÆRKLEDD
EEFLTYØØ;LØFTEØYE
EGLLMTÅÆ;LÅGMÆLTE
AEIMMRSX;MARXISME
AAAMRTTU;MATTRAUA
DDEEMMRØ;MEDMØDRE
DGIIMMOS;MISMODIG
EIMMSTTÆ;MISMÆTTE
EGIINNNT;NITINGEN TININGEN
ENRRRTUÆ;NÆRTURER
AFFGINNØ;NØFFINGA
AIKNOOOS;OKSOIONA
EHOPPSYØ;OPPHØYES
AJKMOPPU;OPPMJUKA
DEMOOPPS;OPPMODES
LOPPSTTÅ;OPPSLÅTT
EOPRRVVØ;OVERPRØV
IKLLPPTØ;PLIKTLØP
AKLLOPPØ;POKALLØP
AKLMOOPP;POLOKAMP
GLNOPTYY;POLYGYNT
EEEPRTTT;PRETTETE
EINPPPRT;PRIPPENT
FOOPRRTY;PYROFORT
CKKNOPRØ;PØNKROCK
DEMMPRÅØ;PÅDØMMER
AEINNOQU;QUINOAEN
AADMRRUU;RAUDMAUR
EGKRRRUÅ;RUGÅKRER
DEHNRRØØ;RØDHØNER
ADDJORRØ;RØDJORDA
DEEKKKRØ;RØKDEKKE
AAAHMNSV;SAMHAVNA
AELSSTXY;SEXLYSTA
EHMNNOSW;SHOWMENN
BDDILLSØ;SILBLØDD
JLLRSTÆØ;SJØLLÆRT
EJRSTYØØ;SJØTRØYE
AAKKSSUØ;SKAUØKSA
EEJKMMSS;SKJEMMES
BEGKKKOS;SKOGBEKK
EKKKMOSU;SKUMKOKE
AGKLSSSY;SKYSSLAG
DEEMSSSU;SMUSSEDE
GIMNSSSU;SMUSSING
LMRSSTØØ;SMØRLØST STRØMLØS
AAHKKMSÅ;SMÅHAKKA
EHMOPPSÅ;SMÅHOPPE
ALNPSSSØ;SNØSLAPS
ABKOOPPS;SOPPBOKA
AAJLOOSY;SOYAOLJA
GIINNPSS;SPISNING
AILPSSSV;SPISSLAV
GIIPSSTT;SPITIGST
IKKKLSTØ;STIKKLØK
GGGINOST;STOGGING
LOPPSSTY;STOPPLYS
JRSSTTYØ;STYRTSJØ
ELPSSSTØ;STØPSLES
BBERSUVÆ;SUBBEVÆR
FLRSSUUØ;SULFURØS
EMMPRSUU;SUPREMUM
EEESTTTV;SVETTETE
IJSSTTUY;SYTTISJU
KKRRSTYÆ;SÆRTRYKK
LLRSSVÅØ;SØLVSLÅR
IIKLLPTT;TILKLIPT TILPLIKT
ILLSTTTU;TILSLUTT
EOPPRTVV;TOPPVERV
EEOORRRT;TOREROER
KKKORSTY;TRYKKSKO
GGHNNOTY;TYNNHOGG
EEJSTTTØ;TØTSJETE
BEETTTUY;UBYTTETE
DDFORUYØ;UFORDØYD
FORRTTUÆ;UFORTÆRT
FFLLOSTU;ULLSTOFF
EIKKRRRU;URKIRKER
DEMRRRUØ;URMØDRER
AFLTTTUY;UTFLYTTA
AAJMNTUU;UUTJAMNA
AAAKNNTV;VANKANTA
ADDFNNVØ;VANNFØDD
AAAKRSSV;VARKASSA VASSKARA
AAGRSSVV;VASSGRAV
AADDKSSV;VASSKADD
AINSSVVÅ;VASSNIVÅ
BBDEEENV;VEBBENDE
DDEEFVYØ;VEDFØYDE
EEELTVVØ;VELØVETE
EEEFILVV;VEVEFEIL
EEEIRRVV;VEVERIER VEVREIER
BDDINVYØ;VINDBØYD
EIILMPPV;VIPPELIM
AIIMOTVV;VOMITIVA
IKRTTVVÅ;VÅRKVITT
EKNPRVÅÅ;VÅRKÅPEN
DEMNRVÅÅ;VÅRMÅNED
EEEINNRW;WIENEREN WIENERNE
AEFGOORZ;ZOOFAGER
EEIRRRTÆ;ÆRREIRET
EFGGLLUØ;ØGLEFUGL
BEILLLRØ;ØLBRILLE
AKKKLRUØ;ØLKRUKKA
ELLPRSØØ;ØLPØLSER
EKLRRYØØ;ØLRØYKER
ALLSTTTØ;ALLSTØTT
AACNNOTY;ANTOCYAN
AAOOPPRS;APROPOSA
AAGNRRRØ;ARRANGØR
ABBEFJSY;BABYFJES
AABBPRTY;BABYPRAT
AAABIJLR;BAJALIRA
AABEMNNN;BANEMANN
AABGPTUU;BAUGPUTA
ABCDEEEH;BEACHEDE
BBEEIIRR;BERIBERI
BDDEEETY;BETYDEDE
ABGGIINN;BINGINGA
AAABDLRR;BLADARRA RABALDRA
BGIILNPP;BLIPPING
AABGHLLY;BLYHAGLA
BDDLNOYÅ;BLÅNODDY
BDDRRSUÅ;BRUDDSÅR
BDEKRRØØ;BRØDKØER RØDBØKER
BDEHNNUU;BUHUNDEN
BBDENNOY;BYBONDEN
BGGHSTYØ;BYGGHØST HØSTBYGG
BDLNSTÅÅ;BÅNDSTÅL STÅLBÅND
BMOORTTÅ;BÅTMOTOR MOTORBÅT
AABJLTTÅ;BÅTTALJA
AACFHIRØ;CHIAFRØA
CHILLOTU;CHILLOUT
ACMOOSTY;CYTOSOMA
ADDDEEGR;DAGREDDE
AADGINNN;DANNINGA
AAADGLTT;DATAGALT
DGGIILNN;DINGLING GLIDNING
CDGHIINT;DITCHING
DIIMMNOU;DOMINIUM
ADFLRYØØ;DØRFLØYA FLØYDØRA
DDERVYÅØ;DØYVERÅD
DEGINNNÅ;DÅNINGEN ÅNDINGEN
CEHIINTT;ECHINITT
ACEEGGLL;EGGCELLA
AEEGGGLU;EGGEGULA UGLEEGGA
EEGGGNTU;EGGTUNGE GNUGGETE
EEEKRSSS;EKSESSER
EEEILPVV;ELVEVIPE
AEJKNNNØ;ENKJØNNA
AABEFRRR;ERFARBAR
AAABFLTU;FABULATA
ACFIISTT;FASCIITT
AAFMPPTU;FATPUMPA
AABFRTTT;FATTBART
AFFLLNUV;FAVNFULL
EEEEFINR;FEERIENE
BEFIRRRØ;FIBRØRER
FGGIINNR;FINGRING
AFFIIRRS;FIRSIFRA
EFGHJLLØ;FJELLHØG HØGFJELL
DFJRRTÅØ;FJØRTRÅD
DFILLSSÅ;FLISSÅLD
FFGLOTTU;FOTFULGT
AAFFMRRT;FRAMFART
AEFMRRRÅ;FRAMÅRER
EFFIINNR;FRIFINNE
FFKRRTUØ;FRUKTFRØ
EFFLLRUØ;FULLFØRE
AGGNORRR;GORRGRAN
AGRRRSTÆ;GRASTRÆR
FFGGINRU;GRUFFING
GMNNRRUU;GRUNNMUR
BGLLTTUÅ;GULBLÅTT
AEGLLLPU;GULLEPLA
GGGILNRU;GURGLING
AGGIMMNY;GYMMINGA
AAGHLLPØ;HAGLLØPA
AABHIITT;HAIBITTA
AEGHHLVØ;HALVHØGE
ADDHLLOV;HALVLODD
AAADFHNT;HANDFATA
AAADHNPS;HANDSPAA
AGGHMNNY;HANNMYGG
AAEHHKSV;HAVHEKSA
AAHLLMVØ;HAVMØLLA
DEEEHNPP;HEPPENDE
AAHORTVW;HOVAWART
EHILLPPU;HULLPIPE
EEHLLMMU;HUMLEMEL
BEHINNNU;HUNNBIEN
AEHMSSSU;HUSMASSE
EEEHLTVV;HVELVETE
AEFHTTTY;HYTTEFAT
HIKKRRSÆ;HÆRSKRIK
AEHRTTTÆ;HÆRTATTE
DEGHRVØØ;HØGVØRDE
EHLSTYYØ;HØYLYSET
EEHLNYØØ;HØYLØENE
EFHLLPUÅ;HÅPEFULL
AHHRSTVÅ;HÅRHVAST
EHNPRSÅÅ;HÅRSÅPEN
DDEIINNV;INNVIDDE
EEGIIRRR;IRRIGERE
AAAGJKLT;JAKTLAGA
IJLLNNUØ;JULILØNN
AEEJKKKS;KAKESKJE
AAAKLNYØ;KANALØYA
AGKPPTTÅ;KAPPGÅTT
AJKKSTUU;KAUTSJUK
EEIIKNNN;KININENE
AFJKLLYØ;KJØLFLYA
EEHKNNNØ;KNEHØNEN
ADEKKKNN;KNEKKAND
IKNNNTVY;KNIVTYNN
EEKKKORR;KOKKERER KROKKERE
IKLOPSSS;KOLSPISS SKIPSLOS
BDKNOPPÅ;KOPPBÅND
AAKKOPPR;KORKAPPA
EKKRRTÅÆ;KRÅKETÆR
AIKLLLMU;KULLMILA
AJKLLSUU;KULLSJAU
EKKLLNUU;KULLUKEN
FKLLRUUV;KURVFULL
EEEKRRVV;KVERVERE
AEKLLLVØ;KØLLELAV
AAAGKLSS;LAGSSAKA
AAAGGLNS;LANGSAGA
AELTTTVÆ;LAVÆTTET
EEEELNSV;LESEEVNE
BFLSSTUU;LUFTBUSS
FLMOTTTU;LUFTTOMT
BDELRYYØ;LYDBØYER
BLLNTTYÅ;LYNBLÅTT
AILPPRRÆ;LÆRPAPIR
EELPTYØØ;LØPEØYET
EKLLRVØØ;LØVEKLØR
AAAJMORT;MAJORATA
AAFMOOTT;MATFOTOA
AAALMSST;MATLASSA SAMLASTA
AAEHMTTT;MATTHETA
DDEEEMNN;MENDENDE
AGGHMOOT;MOTHOGGA
GGHMNNOU;MUNNHOGG
AABDLLMÅ;MÅLBLADA
DKLLMVÅØ;MÅLKLØVD
EEENNNRV;NEVNEREN NEVNERNE
EGINNNRÆ;NÆRINGEN
EKNNNORÆ;NÆRKONEN
ADGLNNØØ;NØDLØGNA
DEEFFNNØ;NØFFENDE
AELMNOOO;OLOMAOEN
EGLNOOOT;OOLONGTE OTOLOGEN
EGOPPTTÅ;OPPGÅTTE
EHOPPTYØ;OPPHØYET
KMOOPPST;OPPKOMST
DEMOOPPT;OPPMODET
AEOPPPRS;OPPSPARE
KKOPPRTY;OPPTRYKK
AADENNNP;PANDANEN
AEGGGINP;PEGGINGA
EOPRRRTÅ;PORTÅRER
AKKLMMPU;PUKKMALM
BEGGPSYÅ;PÅBYGGES
ADNRRRTÆ;RANDTRÆR
DEEEIRRR;REDERIER
EEERRRSV;RESERVER REVERSER SERVERER VERSERER
AABBIRRV;RIBBVARA
ABBHLLRU;RUBBHALL
ELLLRSUÅ;RULLELÅS ULLSÅLER
EJKRRVÆØ;RÆVKJØRE
BELMRRØØ;RØRMØBEL
AAAGMNNS;SAGAMANN
AAGKKKRS;SAGKRAKK
ALLLOSTT;SALTTOLL
AAADKKNS;SANDKAKA
ACEEHNSW;SCHWAENE
DEEENNNS;SENNENDE
INNRSSSU;SINNSRUS
IPRSSUVV;SIVSPURV
EJRRSTØØ;SJØØRRET
DFGGKOOS;SKOGFOGD
KKORRSSÅ;SKRÅKORS
IMMOSSTT;SMITTSOM
BBKLMSUÅ;SMÅKLUBB
FFKMNSUÅ;SMÅKNUFF
EMMSTTÅØ;SMÅMØTET
ADDKMSSÅ;SMÅSKADD
EFFMSTÅØ;SMÅTØFFE
DDDEEINS;SNIDDEDE
DDGIINNS;SNIDDING
FIIKKNSS;SNIKFISK
DENNNSYØ;SNØDYNEN
AAADFMOS;SOFADAMA
EFLLLOSU;SOLFULLE
AELLLOSS;SOLSELLA
AAKOSSST;SOTKASSA
EOPSSTTT;SOTSPETT
BIKKKOST;STIKKBOK
AKNSSSVY;SYNSSVAK
ACDELLSÆ;SÆDCELLA
AEJLLLOT;TALLOLJE
AAINNNPT;TANNPINA
AHLLPPTU;TAPPHULL
BDEGTTTY;TETTBYGD
FIJRRTUÆ;TIURFJÆR
ABGOTTTY;TOGBYTTA
AJKOPPTT;TOPPJAKT
AALOPTTT;TOTALTAP
EEEFFRRT;TREFFERE
EGRRTTTÅ;TREGRÅTT
ERRTTVÅÆ;TRÅVÆRET
EHJLPTUU;UHJULPET
EERTTTUÆ;UTTÆRETE
HILTTUUV;UUTHVILT
AAIRSSSV;VASSRISA
AAKSSTVV;VASSVAKT
AAIKNNNV;VINKANNA
AAKKLRVV;VRAKKALV
LRSSTVØØ;VØRSLØST
AGKLSVÅÅ;VÅGSKÅLA
EEGGLLVÅ;VÅLLEGGE
ERRRTUVÅ;VÅRRUTER VÅRTURER
AALSTTUW;WATTLAUS
AEHLLLNØ;ØLHALLEN
EENNRYØØ;ØRNEØYNE ØRNØYENE
AEMNNNYØ;ØYMANNEN
ACEFFHIR;AFFICHER
AEEELLLN;ALLELENE
AAABINSS;ANABASIS
AAADKNNO;ANAKONDA
AAAEMRRY;AYMARAER
AABENNNV;BANENAVN
BDDEEERÅ;BEDÅREDE
BEELNNNÅ;BENNÅLEN
BEEIPSSS;BESPISES
BEIIIKNR;BIKINIER
ABBDKLOO;BLODBOKA
BEKLMNÅÅ;BLÅMÅKEN
ABEGGGNO;BOGEGANG
ABJKKOPØ;BOKKJØPA
BEKKOOSS;BOKSESKO
AABBDNOY;BOYBANDA
BEEENNNR;BRENNENE
BEEERRRS;BRESERER
BDGGLLOU;BULLDOGG
